Model,Feature_Set,Split,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Tuning_Method,Best_Params,Best_Param_Notes
Decision Tree,W500_O0,80/20,0.6168384879725086,0.6133304071265889,0.614158959519792,0.609192639435871,0.8499003954372936,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W500_O0,70/30,0.6197021764032073,0.6283572505752028,0.6071810536450135,0.6009505464887914,0.8779374688903168,GridSearchCV,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W500_O50,80/20,0.7380330722367275,0.717084428961381,0.7181691668357143,0.7172914455882877,0.8459494175210388,GridSearchCV,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Decision Tree,W500_O50,70/30,0.7215777262180975,0.7007316559811262,0.699591657426074,0.6983612153669678,0.841563337564979,GridSearchCV,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}","Tested max_depth in [None, 10, 20, 30, 50], min_samples_split in [2, 5, 10], using GridSearchCV with Stratified 5-fold CV."
Random Forest,W100_O0,80/20,0.7422192151556157,0.7484936500800646,0.725182855350329,0.7312896006039764,0.9667598060449877,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W100_O0,70/30,0.7464471012858109,0.7481331151924202,0.7307762889159151,0.7352849756379064,0.9650676730531864,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W100_O50,80/20,0.8101373114087134,0.8140256983063903,0.7950424891863705,0.8011330204183196,0.9794353891839124,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W100_O50,70/30,0.8069838399819189,0.8123550868682049,0.792472381848286,0.7990665160619411,0.9787780524658077,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W200_O0,80/20,0.7688647178789939,0.7671279489118923,0.751894368252103,0.7555454262282096,0.9694730965743058,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
Random Forest,W200_O0,70/30,0.7512460353420933,0.7494621110963755,0.7302304480375299,0.7347922198508744,0.9662786505996401,RandomizedSearchCV,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}","Tested n_estimators in [50, 100, 200], max_depth in [10, 20], using RandomizedSearchCV with 3-fold Stratified CV."
